iter	Logloss
0	0.6455712759
1	0.6020262807
2	0.5591686061
3	0.5299428477
4	0.5040235538
5	0.4788494904
6	0.4602032923
7	0.4345196346
8	0.4125991112
9	0.3981597391
10	0.3835907398
11	0.3681424209
12	0.3548831726
13	0.3454005848
14	0.336366494
15	0.3287060508
16	0.3187262218
17	0.3097755795
18	0.3010934417
19	0.2936198247
20	0.2852119505
21	0.2795198425
22	0.2751149602
23	0.2686220279
24	0.2600723882
25	0.2560147977
26	0.2510100573
27	0.2443242244
28	0.2390142744
29	0.2325255283
30	0.2289741491
31	0.2243797243
32	0.2206302208
33	0.2174562788
34	0.2127750497
35	0.208695037
36	0.2056629407
37	0.2022322743
38	0.198615796
39	0.1937189682
40	0.1887000225
41	0.1867522098
42	0.1843221126
43	0.1812879957
44	0.1799222747
45	0.1760461401
46	0.173249593
47	0.1705982132
48	0.1682943997
49	0.1662688721
50	0.1638959012
51	0.1618499304
52	0.1589737647
53	0.1576448157
54	0.155067449
55	0.1524774609
56	0.1490783806
57	0.1476405505
58	0.1451725996
59	0.1438664437
60	0.1418248137
61	0.1398044186
62	0.1380338262
63	0.1352479999
64	0.1330976593
65	0.1309595415
66	0.1282938663
67	0.1260358652
68	0.1245396915
69	0.1230354224
70	0.1212581566
71	0.1196037138
72	0.1170094102
73	0.1157038223
74	0.1141958137
75	0.1125719291
76	0.1112999856
77	0.1108044459
78	0.1091293889
79	0.1079639497
80	0.1067342906
81	0.105051621
82	0.1027725819
83	0.1010313235
84	0.09937357609
85	0.0982041076
86	0.09667230385
87	0.09567397456
88	0.09440925098
89	0.09304131523
90	0.0924451336
91	0.09175184862
92	0.09061939391
93	0.08937874397
94	0.0879167169
95	0.08697071261
96	0.08582855737
97	0.08450570299
98	0.0832393134
99	0.08158787755
100	0.08065881723
101	0.07957185087
102	0.07809164332
103	0.07639295536
104	0.07523005315
105	0.07403185097
106	0.07323030414
107	0.07185076585
108	0.07030662315
109	0.06923256659
110	0.06859875754
111	0.06725550811
112	0.06681736872
113	0.06561880857
114	0.06493448987
115	0.06364376249
116	0.06285951597
117	0.06223941888
118	0.06172499018
119	0.060921108
120	0.06017612383
121	0.05964904776
122	0.05897669302
123	0.05787252421
124	0.0570853392
125	0.05629352357
126	0.05527192909
127	0.05446623818
128	0.05394862499
129	0.05338476375
130	0.05297673625
131	0.05220717467
132	0.0513257778
133	0.05082249539
134	0.05004899253
135	0.04897477927
136	0.04822317904
137	0.04749550076
138	0.04685449932
139	0.04623574225
140	0.0455716947
141	0.04495542431
142	0.04443831855
143	0.04398700623
144	0.0435217859
145	0.04260213418
146	0.04227059874
147	0.04168208657
148	0148	0.04133836564
149	0.04097411032
150	0.04036355172
151	0.04016763494
152	0.03970379994
153	0.0393517129
154	0.03924871486
155	0.03889965156156	0.03835793804
157	0.0379475869
158	0.03744643662
159	0.03716570483
160	0.036619820161	0.03543866067
162	0.0350969212
163	0.03460303133
164	164	0.03503383329
165	0.03452330948
166	0.03415229678
167	0.03371558535
168	0.03322405597
169	0.03271133170	170	0.03233152596
171	0.03191963392
172	0.0316365173	0.03163905737
174	0174	0.03072242265
175	0.03041183773
176	0.03013762687
177	0.0295418178	178	0.02930135179	179	0.02902753180	180	0.02862986181	0.02941161846
182	0.02893743799
183183	0.027732358184	0.02819801245
185	0.02795968103
186	0.0277838207
187	187	0.02663859282
188	0.02636383627
189	0.02613255184
190	0.02591440783
191	0.02572611267
192	0.0256301193	0.02633651424
194	0194	0.02495559155
195	0.02469215782
196	0.02452068032
197	0.02417671134
198	0.02398147058
199	0.02378307848
200	0.02351315867
201	0.02334563651
202	0.0231588745
203	0.02285974072
204	0.02266483206
205	0.0224156206	0.02311538414
207	0207	0.02200201924
208	0.02190209	0.02244068555
210	0.0221837623
211	0.02211	0.0214212	0.02168790702
213	0.02148190805
214	0.02138315144
215	0.02116370035
216	0.02094792525
217	0.02076455688
218	0.02044859977
219	0.02032725368
220	0.02025848219
221	0.0221	0.01925577145
222	0.01899879916
223	0.01885929154
224	0.01869351465
225	0.01850143679
226	0.01839051224
227	0.0182012583
228	0.01793722958
229	0.0177234951
230	0.01759612788
231	0.01743338812
232	0.01741111541
233	0.01726628613
234	0.01708934664
235	0.01695156638
236	0.01680558573
237	0.01664917003
238	0.01649001359
239	0.01637624405
240	0.01625247132
241	0.01605730458
242	0.01588719224
243	0.01580679842
244	0.0157680314
245	0.01567820268
246	0.01549843544
247	0.01545025975
248	0.01531542658
249	0.01510640837
250	0.01499579382
251	0.0148729458
252	0.01471800661
253	0.01463970382
254	0.01452838942
255	0.01444565394
256	0.01434801067
257	0.0142457263
258	0.01412188508
259	0.014260	0.01452963627
261	0.0143731068
262	0.01421105858
263	0.01410418316
264	0.01401282609
265	0.01392293274
266	0.01386217313
267	0.0267	0.01319268	0.0268	0.0130269	0.01269	0.01295568351
270	0.01283418281
271	0.01268499545
272	0.01258934687
273	0.01254802408
274	0.01249080383
275	0.01242445645
276	0.01236352447
277	0.0278	0.01286278	0.01224228809
279	0.0280	0.01270280	0.01201143425
281	0.01198137139
282	0.01189183693
283	0.0118084124
284	0.01174434935
285	0.0286	0.01217872265
287	0.01217679178
288	0.01212499373
289	0.01200171142
290	0.01196947693
291	0.01191526824
292	0.01182515664
293	0.01166826403
294	0.01157429535
295	0.01149375997
296	0.01142069197
297	0.01131999309
298	0.01122319512
299	0.0111692353
2372531
270013
